query_id,query_text,doc_id
2,Androgen receptor define,msmarco_v2.1_doc_16_1783217981
524332,treating tension headaches without medication,msmarco_v2.1_doc_01_662424115
1048642,what is paranoid sc,msmarco_v2.1_doc_49_1197708105
524447,treatment of varicose veins in legs,msmarco_v2.1_doc_10_62639227
524447,treatment of varicose veins in legs,msmarco_v2.1_doc_07_1291356371
786674,what is prime rate in canada,msmarco_v2.1_doc_53_651748476
1048876,who plays young dr mallard on ncis,msmarco_v2.1_doc_16_1908323092
1048917,what is operating system misconfiguration,msmarco_v2.1_doc_00_1365483291
524699,tricare service number,msmarco_v2.1_doc_20_1113472260
1048995,who proposed the geocentric theory,msmarco_v2.1_doc_06_1815169902
873886,what level does zubat evolves to,msmarco_v2.1_doc_04_1315830080
786937,what is process improvement (lean six sigma),msmarco_v2.1_doc_36_1495451065
1049085,what is on the outside of dna,msmarco_v2.1_doc_01_10274197
262232,how long is a day on ven,msmarco_v2.1_doc_07_651573847
1049200,who recorded loving you,msmarco_v2.1_doc_17_3553300004
1049221,who recorded the song still the one?,msmarco_v2.1_doc_18_2421159198
1049329,what is nyu ranked,msmarco_v2.1_doc_01_404393158
1049368,who s sherlock holmes,msmarco_v2.1_doc_10_776039008
787255,what is project charter in project management,msmarco_v2.1_doc_04_1005899305
262974,how long is a typical car loan?,msmarco_v2.1_doc_33_899337674
1049456,what is nortriptyline prescribed for,msmarco_v2.1_doc_38_930458667
1049774,cost of attendance eastern illinois university,msmarco_v2.1_doc_17_358219898
1049791,what is njstart,msmarco_v2.1_doc_30_1452755151
1288,3/5 of 60,msmarco_v2.1_doc_11_1394432690
787784,what is provocative allergy testing,msmarco_v2.1_doc_05_1466097393
1049955,what is net gain,msmarco_v2.1_doc_18_518531487
1050007,who sang louie louie louie louie,msmarco_v2.1_doc_09_655225029
525779,twin tower adress,msmarco_v2.1_doc_07_477824171
263670,how long is flight from hyd to dubai,msmarco_v2.1_doc_41_785703990
811852,what is the common name for jade,msmarco_v2.1_doc_17_2116144313
1576,60x40 slab cost,msmarco_v2.1_doc_08_1063177571
525868,two rivers supervisory union,msmarco_v2.1_doc_39_1504705898
306105,how much do jockeys have to weigh,msmarco_v2.1_doc_03_1643855746
1050231,what is nabumetone used to treat,msmarco_v2.1_doc_41_1670242830
1050253,who sang the song i had the time of my life,msmarco_v2.1_doc_01_167863185
263889,how long is if your on disability,msmarco_v2.1_doc_05_1294887304
788431,what is puritus ani fast,msmarco_v2.1_doc_18_1346737115
264150,how long is mount beacon,msmarco_v2.1_doc_09_938393475
526331,types of anti depression medication,msmarco_v2.1_doc_07_1279701802
788484,what is purpose of sim card,msmarco_v2.1_doc_55_594891783
1050670,who sing the song just swinging,msmarco_v2.1_doc_18_2543023619
1050695,what is motor dyspraxia,msmarco_v2.1_doc_00_1628174446
264284,how long is peak time for morphine,msmarco_v2.1_doc_00_125269133
1050747,who sings arabian nights aladdin,msmarco_v2.1_doc_00_1462587672
1050778,what is monological illusion,msmarco_v2.1_doc_04_1019908424
2235,Bethel University was founded in what year,msmarco_v2.1_doc_00_1112016213
264410,how long is recovery from hemorrhoid banding,msmarco_v2.1_doc_56_1386075058
788702,what is qa?,msmarco_v2.1_doc_10_1287109918
1050923,what is milk thistle useful in treating?,msmarco_v2.1_doc_15_1469017361
526671,types of business entities,msmarco_v2.1_doc_01_510166939
788851,what is qualfon,msmarco_v2.1_doc_41_615267199
264594,how long is super bowl game,msmarco_v2.1_doc_04_1328506867
830531,what is the maximum yearly retirement contributions,msmarco_v2.1_doc_03_1038352686
1051095,who sings hey good looking,msmarco_v2.1_doc_17_1525885093
1051108,what is methylphenidate generic for,msmarco_v2.1_doc_15_1586308616
1051112,what is methanogens,msmarco_v2.1_doc_10_1269617089
789037,what is quillaia,msmarco_v2.1_doc_46_921895577
1051211,what is mepap certification,msmarco_v2.1_doc_03_1201224344
1051214,what is meningitis.,msmarco_v2.1_doc_07_1285368104
1051223,what is menhir,msmarco_v2.1_doc_46_1249757044
1051229,what is memcached,msmarco_v2.1_doc_44_1635093847
264827,how long is the flight from chicago to cairo,msmarco_v2.1_doc_10_137493066
526984,types of coffee drinks mocha latte,msmarco_v2.1_doc_16_3136235927
1051285,what is medicine acyclovir used for,msmarco_v2.1_doc_06_152563067
1051307,what is medical term for neck fusion?,msmarco_v2.1_doc_03_558567388
1051339,what is medical aki,msmarco_v2.1_doc_25_1477247582
1051352,what is mechanical advantages in science terms,msmarco_v2.1_doc_28_1687464441
1051372,cost for child cineplex,msmarco_v2.1_doc_20_370383054
1051422,what is mean streaming,msmarco_v2.1_doc_47_11060351
789292,what is radio miraya,msmarco_v2.1_doc_09_933608821
1051475,what is mca and get weekly paychecks fake?,msmarco_v2.1_doc_51_624496610
789332,what is radiofrequency ablation?,msmarco_v2.1_doc_25_1254048272
1051520,what is maxim,msmarco_v2.1_doc_18_3786548
1051530,what is mastoidectomy,msmarco_v2.1_doc_01_903029919
2962,Explain what a bone scan is and what it is used for.,msmarco_v2.1_doc_04_1157862159
2962,Explain what a bone scan is and what it is used for.,msmarco_v2.1_doc_10_612922609
1051571,what is marilyn manson music called,msmarco_v2.1_doc_17_3722360929
1038859,what is the goddess of agriculture in greek mythology,msmarco_v2.1_doc_04_197434045
1091234,proton pump used for what,msmarco_v2.1_doc_51_2085487759
527568,types of ethnic foods list,msmarco_v2.1_doc_02_732107658
1051886,who sings the song animals animals,msmarco_v2.1_doc_16_1805373917
1051902,what is lips,msmarco_v2.1_doc_46_1244105752
1051942,what is limericks,msmarco_v2.1_doc_58_573707063
527769,types of flowering cactus,msmarco_v2.1_doc_06_635213470
265729,how long keep financial records,msmarco_v2.1_doc_04_574106334
790059,what is rectocele?,msmarco_v2.1_doc_19_1633601356
790178,what is reentry court,msmarco_v2.1_doc_05_540122241
528117,types of honeysuckle,msmarco_v2.1_doc_01_1023003706
1052421,who starred in movie reckless?,msmarco_v2.1_doc_32_1400526934
1091264,product level activity define,msmarco_v2.1_doc_02_1539075870
1052640,what is jelly in the us,msmarco_v2.1_doc_05_1220320799
1052717,who started the tesla car company,msmarco_v2.1_doc_01_270100475
1052948,"who unified italy mazzini,garibaldi or cavour",msmarco_v2.1_doc_17_1165511073
568709,what are the dent,msmarco_v2.1_doc_46_1196449244
1052965,what is ios devices mean,msmarco_v2.1_doc_53_1293768632
1052985,what is ion plating on jewelry,msmarco_v2.1_doc_00_701280041
528760,types of metal plating,msmarco_v2.1_doc_09_1758685557
1053111,who voices steven universe,msmarco_v2.1_doc_00_324786
528841,types of mongooses animals,msmarco_v2.1_doc_03_1506070483
528841,types of mongooses animals,msmarco_v2.1_doc_18_2168255884
525047,trumbull marriott fax number,msmarco_v2.1_doc_05_165221941
266760,how long should i boil corn on the cob?,msmarco_v2.1_doc_06_453329452
1053219,what is insurance in law,msmarco_v2.1_doc_16_3344521542
1053253,what is institutional discrimination?,msmarco_v2.1_doc_17_1966362602
4696,Is the Louisiana sales tax 4.75,msmarco_v2.1_doc_03_125470203
791140,what is respite,msmarco_v2.1_doc_03_1336689319
266920,how long should i slow cook ribs,msmarco_v2.1_doc_04_774387381
791223,what is restoril medication,msmarco_v2.1_doc_09_76625164
4947,Ludacris Net Worth,msmarco_v2.1_doc_04_1287600652
4947,Ludacris Net Worth,msmarco_v2.1_doc_04_953293110
1053716,what is ibm chat,msmarco_v2.1_doc_22_1324251665
568841,what are the differences with winter and summer,msmarco_v2.1_doc_10_740761595
267341,how long should you allow a calf to nurse,msmarco_v2.1_doc_09_508271046
1053896,what is hyper-v heartbeat service,msmarco_v2.1_doc_03_154712859
1053901,what is hydroxyz pam used for,msmarco_v2.1_doc_02_1621195196
1053931,what is hra and hsa,msmarco_v2.1_doc_05_1219737677
1053997,who was foreign minister molotov,msmarco_v2.1_doc_02_1677183741
267566,how long should you rinse your eyes in a safety eye wash,msmarco_v2.1_doc_07_1294756467
1054023,what is hold mail,msmarco_v2.1_doc_04_32147929
568895,what are the different kinds of arthritis,msmarco_v2.1_doc_16_394928028
267644,how long should you wait in a walk in,msmarco_v2.1_doc_51_160512553
918424,what was grenfell,msmarco_v2.1_doc_17_1308404634
1054189,what is hcg for weight loss,msmarco_v2.1_doc_06_1669011210
792187,what is rohs testing,msmarco_v2.1_doc_08_1648925993
1093231,mandibular functions,msmarco_v2.1_doc_10_1289766263
1054438,what is grievances,msmarco_v2.1_doc_17_1312939762
1054450,what is green soap used for,msmarco_v2.1_doc_10_733006304
1054468,what is google doing in the cloud,msmarco_v2.1_doc_14_493110804
44686,average temp in hana hi,msmarco_v2.1_doc_06_1862801865
1091163,racket define,msmarco_v2.1_doc_09_1477676225
1054707,what is gel in chemistry,msmarco_v2.1_doc_55_407102836
6217,The hormone that does the opposite of calcitonin is,msmarco_v2.1_doc_09_1768384425
1091337,price per month for hackett security,msmarco_v2.1_doc_44_154971563
530572,types of wrist brace,msmarco_v2.1_doc_31_1437168446
530572,types of wrist brace,msmarco_v2.1_doc_32_337277507
792742,what is ruby used for,msmarco_v2.1_doc_02_1332530486
1054923,what is full recourse guaranty,msmarco_v2.1_doc_44_579713448
1054969,what is freddie mac first look initiative,msmarco_v2.1_doc_05_1481657909
792847,what is rustic italian food,msmarco_v2.1_doc_49_1181226401
1054999,what is framework in information,msmarco_v2.1_doc_03_786158275
1055125,what is force fluids mean,msmarco_v2.1_doc_04_30959953
